Layer,	Type,	DRAM I RD (D) (nJ),	DRAM F RD (D) (nJ),	DRAM O RD (D) (nJ),	DRAM O WR (D) (nJ),	DRAM Total (D) (nJ),	DRAM Total (L) (nJ),	DRAM Total (D+L) (nJ),	SRAM I RD (D) (nJ),	SRAM F RD (D) (nJ),	SRAM O RD (D) (nJ),	SRAM O WR (D) (nJ),	SRAM Total (D) (nJ),	SRAM I (L) (nJ),	SRAM F (L) (nJ),	SRAM O (L) (nJ),	SRAM Total (L) (nJ),	SRAM Total (D+L) (nJ),	IREG (D) (nJ),	IREG (L) (nJ),	IREG Total (D+L) (nJ),	WREG (D) (nJ),	WREG (L) (nJ),	WREG Total (D+L) (nJ),	MUL (D) (nJ),	MUL (L) (nJ),	MUL Total (D+L) (nJ),	ACC (D) (nJ),	ACC (L) (nJ),	ACC Total (D+L) (nJ),	Systolic Array Total (D) (nJ),	Systolic Array Total (L) (nJ),	Systolic Array Total (D+L) (nJ),	System Total (D) (nJ),	System Total (L) (nJ),	System Total (D+L) (nJ),	
Conv1_0,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2834.67212448,	3279.8368908800003,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	474.6721936355556,	474.6721936355556,	474.6721936355556,	1424.0165809066666,	1451.9565542066666,	0.5019417358771531,	3.7889485903814277,	4.290890326258581,	0.056468445286179725,	3.7889485903814277,	3.8454170356676074,	2.968378824467361,	17.290180961857388,	20.25855978632475,	2.0078977037783337,	24.098366301824218,	26.10626400560255,	5.534686709409028,	48.96644444444446,	54.50113115385349,	478.639426409409,	4307.655149831111,	4786.29457624052,	
Conv2_0,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	39527.04817152,	42331.33832752,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	6618.892711253334,	6618.892711253334,	6618.892711253334,	19856.67813376,	21818.87326506,	9.373761917505833,	52.83360715973209,	62.20736907723792,	1.3552426868683134,	52.83360715973209,	54.188849846600405,	55.43447454692796,	241.09660156869296,	296.5310761156209,	37.497489618060385,	336.0308507785098,	373.5283403965702,	103.6609687693625,	682.7946666666669,	786.4556354360294,	4870.146256069363,	60066.520971946666,	64936.66722801603,	
Conv1_1,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2834.67212448,	3279.8368908800003,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	474.6721936355556,	474.6721936355556,	474.6721936355556,	1424.0165809066666,	1451.9565542066666,	0.5019417358771531,	3.7889485903814277,	4.290890326258581,	0.056468445286179725,	3.7889485903814277,	3.8454170356676074,	2.968378824467361,	17.290180961857388,	20.25855978632475,	2.0078977037783337,	24.098366301824218,	26.10626400560255,	5.534686709409028,	48.96644444444446,	54.50113115385349,	478.639426409409,	4307.655149831111,	4786.29457624052,	
Conv2_1,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	39527.04817152,	42331.33832752,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	6618.892711253334,	6618.892711253334,	6618.892711253334,	19856.67813376,	21818.87326506,	9.373761917505833,	52.83360715973209,	62.20736907723792,	1.3552426868683134,	52.83360715973209,	54.188849846600405,	55.43447454692796,	241.09660156869296,	296.5310761156209,	37.497489618060385,	336.0308507785098,	373.5283403965702,	103.6609687693625,	682.7946666666669,	786.4556354360294,	4870.146256069363,	60066.520971946666,	64936.66722801603,	
Conv1_2,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2834.67212448,	3279.8368908800003,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	474.6721936355556,	474.6721936355556,	474.6721936355556,	1424.0165809066666,	1451.9565542066666,	0.5019417358771531,	3.7889485903814277,	4.290890326258581,	0.056468445286179725,	3.7889485903814277,	3.8454170356676074,	2.968378824467361,	17.290180961857388,	20.25855978632475,	2.0078977037783337,	24.098366301824218,	26.10626400560255,	5.534686709409028,	48.96644444444446,	54.50113115385349,	478.639426409409,	4307.655149831111,	4786.29457624052,	
Conv2_2,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	39527.04817152,	42331.33832752,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	6618.892711253334,	6618.892711253334,	6618.892711253334,	19856.67813376,	21818.87326506,	9.373761917505833,	52.83360715973209,	62.20736907723792,	1.3552426868683134,	52.83360715973209,	54.188849846600405,	55.43447454692796,	241.09660156869296,	296.5310761156209,	37.497489618060385,	336.0308507785098,	373.5283403965702,	103.6609687693625,	682.7946666666669,	786.4556354360294,	4870.146256069363,	60066.520971946666,	64936.66722801603,	
Conv1_3,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2834.67212448,	3279.8368908800003,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	474.6721936355556,	474.6721936355556,	474.6721936355556,	1424.0165809066666,	1451.9565542066666,	0.5019417358771531,	3.7889485903814277,	4.290890326258581,	0.056468445286179725,	3.7889485903814277,	3.8454170356676074,	2.968378824467361,	17.290180961857388,	20.25855978632475,	2.0078977037783337,	24.098366301824218,	26.10626400560255,	5.534686709409028,	48.96644444444446,	54.50113115385349,	478.639426409409,	4307.655149831111,	4786.29457624052,	
Conv2_3,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	39527.04817152,	42331.33832752,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	6618.892711253334,	6618.892711253334,	6618.892711253334,	19856.67813376,	21818.87326506,	9.373761917505833,	52.83360715973209,	62.20736907723792,	1.3552426868683134,	52.83360715973209,	54.188849846600405,	55.43447454692796,	241.09660156869296,	296.5310761156209,	37.497489618060385,	336.0308507785098,	373.5283403965702,	103.6609687693625,	682.7946666666669,	786.4556354360294,	4870.146256069363,	60066.520971946666,	64936.66722801603,	
Conv1_4,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2834.67212448,	3279.8368908800003,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	474.6721936355556,	474.6721936355556,	474.6721936355556,	1424.0165809066666,	1451.9565542066666,	0.5019417358771531,	3.7889485903814277,	4.290890326258581,	0.056468445286179725,	3.7889485903814277,	3.8454170356676074,	2.968378824467361,	17.290180961857388,	20.25855978632475,	2.0078977037783337,	24.098366301824218,	26.10626400560255,	5.534686709409028,	48.96644444444446,	54.50113115385349,	478.639426409409,	4307.655149831111,	4786.29457624052,	
Conv2_4,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	39527.04817152,	42331.33832752,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	6618.892711253334,	6618.892711253334,	6618.892711253334,	19856.67813376,	21818.87326506,	9.373761917505833,	52.83360715973209,	62.20736907723792,	1.3552426868683134,	52.83360715973209,	54.188849846600405,	55.43447454692796,	241.09660156869296,	296.5310761156209,	37.497489618060385,	336.0308507785098,	373.5283403965702,	103.6609687693625,	682.7946666666669,	786.4556354360294,	4870.146256069363,	60066.520971946666,	64936.66722801603,	
Conv1_5,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2834.67212448,	3279.8368908800003,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	474.6721936355556,	474.6721936355556,	474.6721936355556,	1424.0165809066666,	1451.9565542066666,	0.5019417358771531,	3.7889485903814277,	4.290890326258581,	0.056468445286179725,	3.7889485903814277,	3.8454170356676074,	2.968378824467361,	17.290180961857388,	20.25855978632475,	2.0078977037783337,	24.098366301824218,	26.10626400560255,	5.534686709409028,	48.96644444444446,	54.50113115385349,	478.639426409409,	4307.655149831111,	4786.29457624052,	
Conv2_5,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	39527.04817152,	42331.33832752,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	6618.892711253334,	6618.892711253334,	6618.892711253334,	19856.67813376,	21818.87326506,	9.373761917505833,	52.83360715973209,	62.20736907723792,	1.3552426868683134,	52.83360715973209,	54.188849846600405,	55.43447454692796,	241.09660156869296,	296.5310761156209,	37.497489618060385,	336.0308507785098,	373.5283403965702,	103.6609687693625,	682.7946666666669,	786.4556354360294,	4870.146256069363,	60066.520971946666,	64936.66722801603,	
Conv1_6,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2834.67212448,	3279.8368908800003,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	474.6721936355556,	474.6721936355556,	474.6721936355556,	1424.0165809066666,	1451.9565542066666,	0.5019417358771531,	3.7889485903814277,	4.290890326258581,	0.056468445286179725,	3.7889485903814277,	3.8454170356676074,	2.968378824467361,	17.290180961857388,	20.25855978632475,	2.0078977037783337,	24.098366301824218,	26.10626400560255,	5.534686709409028,	48.96644444444446,	54.50113115385349,	478.639426409409,	4307.655149831111,	4786.29457624052,	
Conv2_6,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	39527.04817152,	42331.33832752,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	6618.892711253334,	6618.892711253334,	6618.892711253334,	19856.67813376,	21818.87326506,	9.373761917505833,	52.83360715973209,	62.20736907723792,	1.3552426868683134,	52.83360715973209,	54.188849846600405,	55.43447454692796,	241.09660156869296,	296.5310761156209,	37.497489618060385,	336.0308507785098,	373.5283403965702,	103.6609687693625,	682.7946666666669,	786.4556354360294,	4870.146256069363,	60066.520971946666,	64936.66722801603,	
Conv1_7,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2834.67212448,	3279.8368908800003,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	474.6721936355556,	474.6721936355556,	474.6721936355556,	1424.0165809066666,	1451.9565542066666,	0.5019417358771531,	3.7889485903814277,	4.290890326258581,	0.056468445286179725,	3.7889485903814277,	3.8454170356676074,	2.968378824467361,	17.290180961857388,	20.25855978632475,	2.0078977037783337,	24.098366301824218,	26.10626400560255,	5.534686709409028,	48.96644444444446,	54.50113115385349,	478.639426409409,	4307.655149831111,	4786.29457624052,	
Conv2_7,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	39527.04817152,	42331.33832752,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	6618.892711253334,	6618.892711253334,	6618.892711253334,	19856.67813376,	21818.87326506,	9.373761917505833,	52.83360715973209,	62.20736907723792,	1.3552426868683134,	52.83360715973209,	54.188849846600405,	55.43447454692796,	241.09660156869296,	296.5310761156209,	37.497489618060385,	336.0308507785098,	373.5283403965702,	103.6609687693625,	682.7946666666669,	786.4556354360294,	4870.146256069363,	60066.520971946666,	64936.66722801603,	
Conv1_8,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2834.67212448,	3279.8368908800003,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	474.6721936355556,	474.6721936355556,	474.6721936355556,	1424.0165809066666,	1451.9565542066666,	0.5019417358771531,	3.7889485903814277,	4.290890326258581,	0.056468445286179725,	3.7889485903814277,	3.8454170356676074,	2.968378824467361,	17.290180961857388,	20.25855978632475,	2.0078977037783337,	24.098366301824218,	26.10626400560255,	5.534686709409028,	48.96644444444446,	54.50113115385349,	478.639426409409,	4307.655149831111,	4786.29457624052,	
Conv2_8,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	39527.04817152,	42331.33832752,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	6618.892711253334,	6618.892711253334,	6618.892711253334,	19856.67813376,	21818.87326506,	9.373761917505833,	52.83360715973209,	62.20736907723792,	1.3552426868683134,	52.83360715973209,	54.188849846600405,	55.43447454692796,	241.09660156869296,	296.5310761156209,	37.497489618060385,	336.0308507785098,	373.5283403965702,	103.6609687693625,	682.7946666666669,	786.4556354360294,	4870.146256069363,	60066.520971946666,	64936.66722801603,	
Conv1_9,	GEMM,	36.7678316,	47.224791599999996,	0.0,	361.1721432,	445.16476639999996,	2834.67212448,	3279.8368908800003,	8.0626804,	1.3907943,	0.0,	18.486498599999997,	27.9399733,	474.6721936355556,	474.6721936355556,	474.6721936355556,	1424.0165809066666,	1451.9565542066666,	0.5019417358771531,	3.7889485903814277,	4.290890326258581,	0.056468445286179725,	3.7889485903814277,	3.8454170356676074,	2.968378824467361,	17.290180961857388,	20.25855978632475,	2.0078977037783337,	24.098366301824218,	26.10626400560255,	5.534686709409028,	48.96644444444446,	54.50113115385349,	478.639426409409,	4307.655149831111,	4786.29457624052,	
Conv2_9,	GEMM,	575.4697431999999,	1506.644598,	0.0,	722.1758148,	2804.290156,	39527.04817152,	42331.33832752,	481.0771769,	202.897368,	600.593994,	677.6265923999999,	1962.1951313,	6618.892711253334,	6618.892711253334,	6618.892711253334,	19856.67813376,	21818.87326506,	9.373761917505833,	52.83360715973209,	62.20736907723792,	1.3552426868683134,	52.83360715973209,	54.188849846600405,	55.43447454692796,	241.09660156869296,	296.5310761156209,	37.497489618060385,	336.0308507785098,	373.5283403965702,	103.6609687693625,	682.7946666666669,	786.4556354360294,	4870.146256069363,	60066.520971946666,	64936.66722801603,	
FC3_0,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1764417.11783904,	2061015.88738984,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	295455.5966385067,	295455.5966385067,	295455.5966385067,	886366.78991552,	935560.85785692,	209.81164559664998,	2358.3982407515505,	2568.2098863482006,	209.81164559664998,	2358.3982407515505,	2568.2098863482006,	1396.3253990294465,	10762.123420264048,	12158.448819293495,	944.5150798573281,	14999.819431566195,	15944.334511423524,	2760.463770080075,	30478.739333333346,	33239.20310341342,	348553.3012622801,	2681262.6470878934,	3029815.9483501734,	
FC3_1,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1764417.11783904,	2061015.88738984,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	295455.5966385067,	295455.5966385067,	295455.5966385067,	886366.78991552,	935560.85785692,	209.81164559664998,	2358.3982407515505,	2568.2098863482006,	209.81164559664998,	2358.3982407515505,	2568.2098863482006,	1396.3253990294465,	10762.123420264048,	12158.448819293495,	944.5150798573281,	14999.819431566195,	15944.334511423524,	2760.463770080075,	30478.739333333346,	33239.20310341342,	348553.3012622801,	2681262.6470878934,	3029815.9483501734,	
FC3_2,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1764417.11783904,	2061015.88738984,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	295455.5966385067,	295455.5966385067,	295455.5966385067,	886366.78991552,	935560.85785692,	209.81164559664998,	2358.3982407515505,	2568.2098863482006,	209.81164559664998,	2358.3982407515505,	2568.2098863482006,	1396.3253990294465,	10762.123420264048,	12158.448819293495,	944.5150798573281,	14999.819431566195,	15944.334511423524,	2760.463770080075,	30478.739333333346,	33239.20310341342,	348553.3012622801,	2681262.6470878934,	3029815.9483501734,	
FC3_3,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1764417.11783904,	2061015.88738984,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	295455.5966385067,	295455.5966385067,	295455.5966385067,	886366.78991552,	935560.85785692,	209.81164559664998,	2358.3982407515505,	2568.2098863482006,	209.81164559664998,	2358.3982407515505,	2568.2098863482006,	1396.3253990294465,	10762.123420264048,	12158.448819293495,	944.5150798573281,	14999.819431566195,	15944.334511423524,	2760.463770080075,	30478.739333333346,	33239.20310341342,	348553.3012622801,	2681262.6470878934,	3029815.9483501734,	
FC3_4,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1764417.11783904,	2061015.88738984,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	295455.5966385067,	295455.5966385067,	295455.5966385067,	886366.78991552,	935560.85785692,	209.81164559664998,	2358.3982407515505,	2568.2098863482006,	209.81164559664998,	2358.3982407515505,	2568.2098863482006,	1396.3253990294465,	10762.123420264048,	12158.448819293495,	944.5150798573281,	14999.819431566195,	15944.334511423524,	2760.463770080075,	30478.739333333346,	33239.20310341342,	348553.3012622801,	2681262.6470878934,	3029815.9483501734,	
FC3_5,	GEMM,	1150.9394863999999,	295367.4759928,	0.0,	80.3540716,	296598.76955080003,	1764417.11783904,	2061015.88738984,	2900.563589,	39677.70752,	3250.3141632,	3365.4826692,	49194.0679414,	295455.5966385067,	295455.5966385067,	295455.5966385067,	886366.78991552,	935560.85785692,	209.81164559664998,	2358.3982407515505,	2568.2098863482006,	209.81164559664998,	2358.3982407515505,	2568.2098863482006,	1396.3253990294465,	10762.123420264048,	12158.448819293495,	944.5150798573281,	14999.819431566195,	15944.334511423524,	2760.463770080075,	30478.739333333346,	33239.20310341342,	348553.3012622801,	2681262.6470878934,	3029815.9483501734,	
